normalized_comment,number_of_reviews,number_of_products,canonical_product_links
.,4,4,"[""https://www.ulta.com/p/no-filter-loose-setting-powder-pimprod2030981"", ""https://www.ulta.com/p/renergie-lift-makeup-lightweight-liquid-foundation-spf-27-xlsImpprod3650154"", ""https://www.ulta.com/p/skin-color-corrector-stick-pimprod2031590"", ""https://www.ulta.com/p/your-skin-but-better-foundation-skincare-pimprod2017112""]"
"40 spf , invisible finish , color correction oil control. no hard smells. simple cute bottle . smooth easy to apply. no white cast. ive used on my skin with no breakouts so i like would recommend",3,3,"[""https://www.ulta.com/p/bronzing-blendrops-spf-40-priming-drops-pimprod2043859"", ""https://www.ulta.com/p/illuminizing-blendrops-spf-40-priming-drops-pimprod2043861"", ""https://www.ulta.com/p/perfecting-blendrops-spf-40-priming-drops-pimprod2043860""]"
"45 yrs old / dry skin/ redness. (i wish all of the reviewers would contain age and skin/ hair type as i dont want a (example) wrinkle product review from a 20yr old) i absolutely love love love their cc spf cream. its a staple in my routine. i use it between primer and concealer (i dont wear foundation). i have really red cheeks so instead of 2 layers of thick concealer which can be heavy i would use the spf cc cream and 1 layer of concealer (shape tape). it was pefect and looked amazing. well the spf cc in my color had been out of stock for so long and this was on 21 days of beauty. an employee for erborian said this was comparable just more hydating. well why it is hydrating it has zero coverage. the coverage and spf were my reasons for buying the original spf cc cream and since this has neither i wont be buying again. i just have no use for it as i already use a hydating primer. i bought 2 but i will be returning 1. i wont give it a bad review as its not a bad product , its kust not for me.",2,2,"[""https://www.ulta.com/p/cc-water-with-hyaluronic-acid-pimprod2025143"", ""https://www.ulta.com/p/travel-size-cc-water-with-hyaluronic-acid-pimprod2025144""]"
"a beauty consultant once recommended to me to use a primer as a makeup base and to use this product. she was right. since then, i have experimented with a couple of other primers, but this one has reliably been the best. it provides a smooth surface for foundation application, thus providing an even appearance to my skin. it also makes my face feel moisturized, but without feeling or appearing oily on any part of my combination skin. also, it isn't necessary to use a lot, so, given the price, it's consoling that a tube lasts a long time.",2,2,"[""https://www.ulta.com/p/original-photo-finish-smooth-blur-oil-free-primer-xlsImpprod3590041"", ""https://www.ulta.com/p/travel-size-original-photo-finish-smooth-blur-oil-free-primer-pimprod2033047""]"
"a good foundation but not the ""best"" as expected from what i've read. the coverage wasn't as full as i thought it would be. feels extremely lightweight on. this worked really well throughout the whole day even when mousturizer was applied prior to my oily skin - i also used setting powder, though. would recommend but there are better full coverage foundations out there.",2,2,"[""https://www.ulta.com/p/cc-cream-with-spf-50-xlsImpprod5770257"", ""https://www.ulta.com/p/mini-cc-cream-with-spf-50-pimprod2013015""]"
absolute fantastic serum i loved it and already bought. so nice on my skin 😍,2,2,"[""https://www.ulta.com/p/matte-cream-mattifying-blurring-primer-pimprod2044585"", ""https://www.ulta.com/p/travel-size-matte-cream-mattifying-blurring-primer-pimprod2044589""]"
absolutely love jane iredale products! i had given up wearing makeup!,2,2,"[""https://www.ulta.com/p/smooth-affair-facial-primer-brightener-pimprod2004113"", ""https://www.ulta.com/p/smooth-affair-mattifying-face-primer-pimprod2033620""]"
"absolutely love this foundation!! gives me a nice healthy glow, and lasts throughout my 12hr shifts. i am always getting compliments and being asked what foundation i use. does not feel oily, or heavy.",2,2,"[""https://www.ulta.com/p/halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2016307"", ""https://www.ulta.com/p/mini-halo-healthy-glow-tinted-moisturizer-broad-spectrum-spf-25-pimprod2033372""]"
absolutely love using this after doing initial makeup cleanse - removes water proof mascara,2,2,"[""https://www.ulta.com/p/lash-clean-oil-free-makeup-remover-pimprod2018008"", ""https://www.ulta.com/p/travel-size-lash-clean-oil-free-makeup-remover-pimprod2018009""]"
absolutely loved this set. it's a bit oily on my skin however it's creamy buildable pigmented but not overly. love the shiny finish it give and the highlighter is so pretty,2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-conceal-pimprod2012854"", ""https://www.ulta.com/p/megaglo-makeup-stick-contour-xlsImpprod16731047""]"
"absolutely worthless product. the only thing this corrected was $16 from my bank account. thanks for making a face cream, putting green food coloring in, and marketing it as a color corrector. great job smashbox.",2,2,"[""https://www.ulta.com/p/photo-finish-correct-anti-redness-primer-pimprod2030499"", ""https://www.ulta.com/p/travel-size-photo-finish-correct-anti-redness-primer-pimprod2032763""]"
after all these years of trying so many new concealer releases.. somehow i still go back to this concealer and its still my favorite out of everything. use your fingers to warm up then tap under the eye. no creasing and caking or settling in fine wrinkles for very dry skin in dry climate (salt lake city),2,2,"[""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043""]"
"after using this product, it's now a staple in my everyday routine. i use a light base, blush, mascara and this bronzer which is perfect for that summer time bronze glow. i love that it is not cakey and complements my natural my skin tone really well. will be buying when it runs out because so far happy with results! *i received this product for free in exchange for this review*",2,2,"[""https://www.ulta.com/p/laguna-bronzer-powder-talc-free-pimprod2038440"", ""https://www.ulta.com/p/mini-laguna-bronzer-powder-talc-free-pimprod2038438""]"
all good.,2,2,"[""https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117"", ""https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654""]"
