canonical_product_link,normalized_comment,number_of_reviews,canonical_review_ids
https://www.ulta.com/p/amazonian-clay-bb-tinted-moisturizer-broad-spectrum-spf-20-xlsImpprod2430045,com,2,"[""0ce1c690bf91df6eaa5ee2d8a37f13377b464c3df815e60ea05fc0a36dc5001b"", ""6fd5eef61dc53b74d40a93bcd672695af053eef9218d1866c0fdb46700caf67c""]"
https://www.ulta.com/p/cheeky-pop-blush-stick-pimprod2040233,this blush stick is so pretty on cheeks and lips it looks so pretty and natural!,2,"[""85cf6b799105e84ecaf6212483b0bb4fe61b73302b43e0f3170d0d726e8ebc9e"", ""881c514347ee00dfc78150c4e643a8f6e685e88d719f2266038a8ae49ece0810""]"
https://www.ulta.com/p/comforting-eye-makeup-remover-with-hyaluronic-acid-pimprod2033424,"this garbage made my eyes sting like crazy and i couldn't see properly due to some weird film and grease in the formula. plus it was ineffective, left half on the eye makeup on. buy clinique eye makeup remover instead, feels so much better and works 100 times more effectively.",2,"[""2897bc0300f71adfc6dc5ed4c43f813a636cab089ac27ead7186935a402454fe"", ""48ad97c0fe7136f90f87443052d0c2c2ff97fcc4b878e29891f388d4d416f819""]"
https://www.ulta.com/p/continuous-correction-tone-evening-cc-cream-spf-50-pimprod2024519,see above,2,"[""0909b5b0f57fff5751aef8aacda82fb9271c8131753b8816c7207e9f3a9b3161"", ""ac66428c7c0916789370180988ca80f02eaa7474b5a70e0094b551a169a8d7e7""]"
https://www.ulta.com/p/dewy-barrier-hydrating-stick-pimprod2043594,"this cooling skin stick is a total refresh for your skin! it's designed to rehydrate and renew, leaving your complexion smooth and plump with a radiant finish. the stick form makes it super easy to apply directly on a clean face, over jet-lag weariness, or as a makeup primer. it's packed with squalane to restore suppleness, bakuchiol to reduce signs of aging like hyperpigmentation and wrinkles, and vitamin c to brighten and even out skin tone. plus, it's gluten-free and cruelty-free, perfect for creating a protective barrier on dry, dehydrated, or chapped skin, while enhancing brightness and minimizing tired-looking skin and lines. a fantastic multipurpose product that truly works!",2,"[""325b7aaa1176da6a75cc7d13af245558a24a071fb28410c19a59c9f449cda35e"", ""495eef46a867942c1e95aab1f18a707ad2f2b5d24051e89b7e0db66f9561d431""]"
https://www.ulta.com/p/invisimatte-instant-setting-blotting-powder-pimprod2034002,"this is the powder i have been looking for!! i have had this in my cart for so long but was always hesitant because my skin is really sensitive to talc. when i saw that fenty was reformulating this product i instantly purchased it. its perfect on my medium skin: no whitecast, instantly perfecting, and long lasting!! will be a forever fan of this product, instant staple in my routine! thanks fenty for investing in for products and using high quality ingredients to make the best stuff!",2,"[""5d57154ba7f7e296ca11fc9c6f382c76f6212e32b734c6d61303eca1472fbf13"", ""ed3bcf5754dc408ede4a063c3213f9edb5af8391c6f7bfed3a6b50a6ffe67f42""]"
https://www.ulta.com/p/lash-clean-oil-free-makeup-remover-pimprod2018008,i love this last cleaner because it effectively removes the sticky glue gunk and old mascara from the lashes without damaging them. will buy again.,2,"[""19b656133317d5c3f3835ef926bdc01e2695e7f18dffd0b5a5826568e4773d42"", ""765ef5f9fad91a9bd38ac304c139146338d58662a56711bd7eb07672045037d0""]"
https://www.ulta.com/p/lunar-magic-blurring-primer-pimprod2034167,as you can tell by the photo i use this primer all the time. it is both hydrating and blurring. i have extremely dry skin and this works so well for me. there is also a little bit of a cooling affect when applied.,2,"[""80281b4a94f2037bac730f47d1d6874ea83b980ae75fec01885157940450e14f"", ""83ae561d85b633ef0bf452ae86184c39b335ede4834313857cbbbb3521c6fa0a""]"
https://www.ulta.com/p/mini-vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025025,i like it very much!,2,"[""6322a9c7d6d53a673be84efdd2611315e41ae795c4a8000cbb3a4b33447d4b78"", ""fc77d1441b860c417b69b9b3d1f45a84989efcc4986d8d0d63d0a23cafc5a170""]"
https://www.ulta.com/p/mood-glow-color-shifting-ph-blush-balm-pimprod2040357,"i was so surprised by this blush and how much i liked it. i have heard of blushes that react to your skin ph to give you a unique color but most of them are liquid, or at least the ones that i know of. when i opened this one, it was a very unexpected white colored creamy texture formula and i wasn't expecting it to blend the way it did and give such a pretty shade on my cheeks. it also feels hydrating and is definitely buildable and long lasting. i am absolutely in love with it.",2,"[""9cc18133df43683712e11053b825fb102b723716a733378f326581082adc92f2"", ""fd111ce093b7d3deaf06615edaba3d6fc6fb1082a1ce0898701ee12898888ebc""]"
https://www.ulta.com/p/nudescreen-blush-tint-spf-30-pimprod2043960,"i normally wear spf of 50 + and i tryed the nudestix nudescreen tint 30 spf on coral pink, the next day i woke ip with a really bad sun burn on my chicks, i feel that i aged 10 years, i hate this product, i never write a bad review but this damaged my skin so much im so angryâ¦..!",3,"[""053de0c9e2ae7e774f3a4e6089cafe9b87dac9789525e9b6bc32a6cf3ad1f0e7"", ""72f272a4781498c58a998ccec2c4234df70dc3b60765de688d7411ea663259aa"", ""ade30ebe68ab9d41b1c839b4324ff23308872f8f52cc5321236313d87d267a74""]"
https://www.ulta.com/p/nudies-matte-glow-core-all-over-face-blush-color-pimprod2040696,absolutely loved this blush and the shade is stunning! will definitely be trying other shades for the summer!,2,"[""3d5ff859eaad6915d5afdd5903d5b2f4bbfb3988c2c2867d85ab2c039bbc3eee"", ""7eff917368ccb48960f7695f12ba9b1d9bd259841e4390b184c3a558973fd11c""]"
https://www.ulta.com/p/photo-finish-resurface-primer-with-glycolic-acid-pimprod2044509,i love this primer. it helps my makeup stay on throughout the day and smooths my skin so it looks flawless. i would definitely buy again. there is no scent which is great too!,2,"[""9ea7433e853c91a2e1e3594021d4d5402ece78a49a9628ee3ab1bbde8446e569"", ""d13571662b0f2b2e68982664471914bbddf646bb446d875458eac44a46cfc907""]"
https://www.ulta.com/p/prime-lab-up-24h-pore-minimizer-pimprod2036471,i have been using this product and i'm mesmerized with the results. i have large pores and the results are incredible . my pores are more smaller and my skin feels so smooth.,2,"[""60157dbee71870fe2385c55cd325e2e7b52c89e619e7084c2892b913800e1b30"", ""a148f4543044037f30b3bd7b52edacbac2aa16d03f39aa9bf75c7590d9b95e1f""]"
https://www.ulta.com/p/prime-of-your-life-smoothing-firming-treatment-primer-pimprod2024582,great product,2,"[""a17a6289a41bb9180347f4df1a4ef03c116fa9e5aadcdb4824df665990a634a9"", ""d2e03c29f573ac949ccd31456003f4771b7ac0c29d2b987b8e64bbec7beef059""]"
https://www.ulta.com/p/quad-goals-multi-palette-pimprod2026433,i cannot say anything bad about these stacks! super convenient &amp; the colors are perfect!!,3,"[""5bfabe5c1858c20c882f66b9da6cfd90fd5270a5815f13e5150d3642b1649497"", ""7d202eaec20881ac05c1f20b85926c93fcd1d1e0d230c6f27a9fd3bbec4ee637"", ""b21f5710ab538853cea5d26ea9efa60071f622d07e3e73ec000388ae3d5e270a""]"
https://www.ulta.com/p/real-flawless-luminous-perfecting-talc-free-pressed-finishing-powder-pimprod2038474,i was really impressed with the way this powder looked and felt. did not leave a weird white shadow on my face at all.,2,"[""3954828aa433d6cbee09cb27991deae7e5644c95ee1b4223f710702e64db1ba0"", ""ececfb91c2dfa69802b64b9614f1b04c231a76cb94fc73dd73f4a04e592216ca""]"
https://www.ulta.com/p/smashbox-x-becca-shimmering-skin-perfector-pressed-highlighter-pimprod2028917,"this isn't the original color or formula. i noticed it the moment i swatched it. it doesn't wear the same as before. i miss becca's original champagne pop. this color is too gold &amp; dull. not what a highlighter is supposed to look like, let alone champagne pop. the formula is too dry &amp; flaky. their highlighters used to be soft, buttery &amp; with one sweep of the brush, there was so much color pay off. i am disappointed with this product. i'm glad i wasn't the only one who noticed this isn't the original product.",3,"[""557beae72d6e9c8e3b20dc8e3e7ea92770d897dad7ccb3080fdfeec79441644e"", ""9752a5531ddc8c034c3a7e4c2bf3aa21e67acb969db82c3fc0411c89095c5044"", ""daf3a642311a83c123c41ed0c28915ca788a391e6320ed90114f920cb58bec75""]"
