product_link_id,product_link,canonical_product_link,item_id_raw,sku_from_url,item_id_from_description,item_id_clean
1,https://www.ulta.com/p/double-wear-stay-in-place-foundation-xlsImpprod14641507?sku=2309420,https://www.ulta.com/p/double-wear-stay-in-place-foundation-xlsImpprod14641507,2309420,2309420,2309420,2309420
10,https://www.ulta.com/p/light-reflecting-advanced-skincare-foundation-pimprod2030141?sku=2591117,https://www.ulta.com/p/light-reflecting-advanced-skincare-foundation-pimprod2030141,2591117,2591117,2591117,2591117
100,https://www.ulta.com/p/ambient-soft-glow-foundation-pimprod2033509?sku=2599657,https://www.ulta.com/p/ambient-soft-glow-foundation-pimprod2033509,2599657,2599657,2599657,2599657
1000,https://www.ulta.com/p/flawless-fusion-bronzer-powder-pimprod2020354?sku=2575986,https://www.ulta.com/p/flawless-fusion-bronzer-powder-pimprod2020354,,2575986,2575986,2575986
1001,https://www.ulta.com/p/radiance-booster-dewy-tinted-moisturizer-pimprod2026995?sku=2585994,https://www.ulta.com/p/radiance-booster-dewy-tinted-moisturizer-pimprod2026995,,2585994,2585994,2585994
1002,https://www.ulta.com/p/sun-club-matt-bronzing-powder-palette-pimprod2013569?sku=2558440,https://www.ulta.com/p/sun-club-matt-bronzing-powder-palette-pimprod2013569,2558440,2558440,2558440,2558440
1003,https://www.ulta.com/p/mega-bronzer-pimprod2006375?sku=2570436,https://www.ulta.com/p/mega-bronzer-pimprod2006375,,2570436,2570436,2570436
1004,https://www.ulta.com/p/unconditional-mini-mix-face-palette-pimprod2042795?sku=2620023,https://www.ulta.com/p/unconditional-mini-mix-face-palette-pimprod2042795,,2620023,2620023,2620023
1005,https://www.ulta.com/p/city-bronzer-powder-pimprod2002752?sku=2537789,https://www.ulta.com/p/city-bronzer-powder-pimprod2002752,2537789,2537789,2537789,2537789
1006,https://www.ulta.com/p/good-apple-bronze-sculpt-balm-duo-pimprod2043904?sku=2621132,https://www.ulta.com/p/good-apple-bronze-sculpt-balm-duo-pimprod2043904,,2621132,2621132,2621132
1008,https://www.ulta.com/p/sun-club-matt-bronzing-powder-xlsImpprod3400079?sku=2232176,https://www.ulta.com/p/sun-club-matt-bronzing-powder-xlsImpprod3400079,2232176,2232176,2232176,2232176
1009,https://www.ulta.com/p/heatwave-luminous-bronzer-pimprod2026949?sku=2587386,https://www.ulta.com/p/heatwave-luminous-bronzer-pimprod2026949,,2587386,2587386,2587386
101,https://www.ulta.com/p/sweetener-foundation-pimprod2041162?sku=2603299,https://www.ulta.com/p/sweetener-foundation-pimprod2041162,,2603299,2603299,2603299
1010,https://www.ulta.com/p/mini-bronze-glow-pimprod2037998?sku=2608437,https://www.ulta.com/p/mini-bronze-glow-pimprod2037998,2608437,2608437,2608437,2608437
1011,https://www.ulta.com/p/sheer-bronze-natural-cream-bronzer-pimprod2024799?sku=2584751,https://www.ulta.com/p/sheer-bronze-natural-cream-bronzer-pimprod2024799,,2584751,2584751,2584751
